17051,1118,5.2,Illinois,Fayette County
17107,1475,5.1,Illinois,Logan County
17165,1183,4.9,Illinois,Saline County
17097,46956,6.7,Illinois,Lake County
17127,1228,8.6,Illinois,Massac County
17017,930,7.4,Illinois,Cass County
18069,2131,5.9,Indiana,Huntington County
18181,1697,7.0,Indiana,White County
18075,1329,6.4,Indiana,Jay County
18145,2465,5.5,Indiana,Shelby County
18153,1094,5.3,Indiana,Sullivan County
18157,10820,5.6,Indiana,Tippecanoe County
18057,23932,7.4,Indiana,Hamilton County
18005,5770,7.0,Indiana,Bartholomew County
18049,1566,7.8,Indiana,Fulton County
18113,3167,6.7,Indiana,Noble County
18019,6973,6.0,Indiana,Clark County
18063,11345,6.9,Indiana,Hendricks County
18053,3778,5.7,Indiana,Grant County
18071,3038,6.9,Indiana,Jackson County
18119,1149,5.5,Indiana,Owen County
18183,2152,6.4,Indiana,Whitley County
18023,2573,8.0,Indiana,Clinton County
18161,399,5.6,Indiana,Union County
18029,3134,6.3,Indiana,Dearborn County
18093,2956,6.5,Indiana,Lawrence County
18123,989,5.2,Indiana,Perry County
18129,1485,5.8,Indiana,Posey County
18015,1231,6.1,Indiana,Carroll County
18045,1102,6.7,Indiana,Fountain County
18149,1480,6.4,Indiana,Starke County
18055,1958,6.1,Indiana,Greene County
19011,1514,5.9,Iowa,Benton County
19061,6194,6.4,Iowa,Dubuque County
19151,432,6.4,Iowa,Pocahontas County
19177,541,7.6,Iowa,Van Buren County
19003,271,7.4,Iowa,Adams County
19009,261,4.7,Iowa,Audubon County
19051,683,7.7,Iowa,Davis County
19093,429,6.2,Iowa,Ida County
19135,464,5.9,Iowa,Monroe County
19167,2500,7.2,Iowa,Sioux County
19025,544,5.6,Iowa,Calhoun County
19033,2184,5.1,Iowa,Cerro Gordo County
19083,1047,6.1,Iowa,Hardin County
19117,491,5.7,Iowa,Lucas County
19147,594,6.6,Iowa,Palo Alto County
19087,1212,6.1,Iowa,Henry County
19099,2240,6.1,Iowa,Jasper County
19157,977,5.3,Iowa,Poweshiek County
19043,1264,7.2,Iowa,Clayton County
19017,1471,5.9,Iowa,Bremer County
19063,460,4.9,Iowa,Emmet County
19081,648,6.0,Iowa,Hancock County
19097,1223,6.3,Iowa,Jackson County
19111,2071,6.1,Iowa,Lee County
19181,3784,7.6,Iowa,Warren County
19123,1569,7.1,Iowa,Mahaska County
19041,1003,6.2,Iowa,Clay County
19055,1114,6.5,Iowa,Delaware County
13005,849,7.6,Georgia,Bacon County
13025,1383,7.4,Georgia,Brantley County
13017,756,4.4,Georgia,Ben Hill County
13033,1225,5.4,Georgia,Burke County
13047,4172,6.3,Georgia,Catoosa County
13053,661,6.3,Georgia,Chattahoochee County
13055,1625,6.5,Georgia,Chattooga County
13073,10985,7.3,Georgia,Columbia County
13087,1673,6.3,Georgia,Decatur County
13115,6117,6.3,Georgia,Floyd County
13117,18009,7.9,Georgia,Forsyth County
13137,2479,5.6,Georgia,Habersham County
13147,1496,5.8,Georgia,Hart County
13185,7891,6.8,Georgia,Lowndes County
13191,659,4.6,Georgia,McIntosh County
13199,1078,5.1,Georgia,Meriwether County
13207,1305,4.8,Georgia,Monroe County
13237,1451,6.7,Georgia,Putnam County
13261,2181,7.3,Georgia,Sumter County
13265,45,2.8,Georgia,Taliaferro County
13301,396,7.5,Georgia,Warren County
20193,485,6.2,Kansas,Thomas County
19185,446,6.9,Iowa,Wayne County
19163,11775,6.8,Iowa,Scott County
20181,328,5.5,Kansas,Sherman County
20127,290,5.2,Kansas,Morris County
20163,281,5.6,Kansas,Rooks County
20025,154,7.6,Kansas,Clark County
20077,399,7.1,Kansas,Harper County
20111,2142,6.4,Kansas,Lyon County
20145,381,5.7,Kansas,Pawnee County
20033,102,5.9,Kansas,Comanche County
20063,180,6.8,Kansas,Gove County
20079,1927,5.6,Kansas,Harvey County
20093,342,8.8,Kansas,Kearny County
20113,1722,6.0,Kansas,McPherson County
05041,748,6.4,Arkansas,Desha County
05049,743,6.1,Arkansas,Fulton County
05061,781,5.9,Arkansas,Howard County
05051,6191,6.3,Arkansas,Garland County
05093,2888,6.9,Arkansas,Mississippi County
05115,4263,6.7,Arkansas,Pope County
05117,418,5.1,Arkansas,Prairie County
05139,2683,6.8,Arkansas,Union County
05147,483,7.4,Arkansas,Woodruff County
05023,1408,5.6,Arkansas,Cleburne County
05025,504,6.2,Arkansas,Cleveland County
05067,958,5.6,Arkansas,Jackson County
05057,1443,6.6,Arkansas,Hempstead County
05135,933,5.4,Arkansas,Sharp County
05137,573,4.6,Arkansas,Stone County
05143,16366,7.0,Arkansas,Washington County
05005,1822,4.4,Arkansas,Baxter County
05003,1828,9.0,Arkansas,Ashley County
05031,7848,7.3,Arkansas,Craighead County
05055,3237,7.2,Arkansas,Greene County
05105,752,7.3,Arkansas,Perry County
05111,1517,6.3,Arkansas,Poinsett County
05133,1226,7.2,Arkansas,Sevier County
05013,246,4.7,Arkansas,Calhoun County
05019,1094,4.9,Arkansas,Clark County
05075,969,5.9,Arkansas,Lawrence County
05095,441,6.3,Arkansas,Monroe County
