17,051,22.4,3428
17,107,24.1,4906
17,165,26.4,4519
17,097,18.2,83348
17,127,27.1,2718
17,017,18.8,1597
18,069,20.8,5211
18,181,21.4,3560
18,075,18.4,2531
18,145,18.3,5657
18,153,20.7,3089
18,157,20.0,21125
18,057,15.8,33189
18,005,17.7,9883
18,049,23.7,3286
18,113,18.8,5924
18,019,22.9,18498
18,063,20.2,22055
18,053,20.7,9115
18,071,20.7,6203
18,119,21.3,3185
18,183,19.9,4657
18,023,18.5,3915
18,161,19.8,999
18,029,19.0,6497
18,093,19.5,6265
18,123,19.3,2622
18,129,22.1,3971
18,015,22.1,3095
18,045,21.4,2462
18,149,22.3,3523
18,055,21.3,4842
19,011,20.9,3711
19,061,19.5,12668
19,151,23.6,1150
19,177,23.8,1196
19,003,23.1,615
19,009,23.3,940
19,051,18.5,1035
19,093,21.5,1032
19,135,23.1,1243
19,167,17.9,3710
19,025,23.7,1657
19,033,23.3,7112
19,083,23.0,2793
19,117,23.3,1386
19,147,23.4,1436
19,087,23.5,3213
19,099,21.8,5667
19,157,20.3,2444
19,043,18.6,2359
19,017,18.8,3094
19,063,25.2,1629
19,081,18.6,1426
19,097,20.8,2832
19,111,23.4,5670
19,181,21.5,7079
19,123,20.3,3035
19,041,25.4,2892
19,055,19.1,2253
13,005,21.0,1548
13,025,16.5,2109
13,017,17.7,1981
13,033,18.8,2770
13,047,23.9,11003
13,053,28.8,1475
13,055,18.5,3157
13,073,22.0,21985
13,087,22.5,3996
13,115,19.2,12447
13,117,17.3,25581
13,137,19.2,5810
13,147,21.1,3936
13,185,20.5,13960
13,191,21.4,2366
13,199,24.1,3572
13,207,19.3,3675
13,237,19.8,3103
13,261,19.5,3711
13,265,12.2,151
13,301,14.2,553
20,193,29.4,1472
19,185,19.0,831
19,163,21.0,24471
20,181,28.4,1163
20,127,24.9,1006
20,163,24.5,880
20,025,30.9,436
20,077,27.6,1066
20,111,23.7,4718
20,145,27.3,1352
20,033,31.7,396
20,063,23.7,456
20,079,25.3,5753
20,093,20.7,477
20,113,23.9,4651
05,041,18.8,1469
05,049,29.7,2631
05,061,23.8,2091
05,051,27.8,19838
05,093,21.5,5848
05,115,20.6,8324
05,117,21.3,1274
05,139,21.1,5656
05,147,17.0,792
05,023,20.0,3731
05,025,20.0,1138
05,067,21.0,2568
05,057,20.6,2954
05,135,24.6,3051
05,137,22.6,2084
05,143,20.5,28967
05,005,25.4,8080
05,003,20.9,2882
05,031,20.9,14446
05,055,21.1,6356
05,105,24.0,1737
05,111,21.3,3473
05,133,19.2,2053
05,013,17.7,657
05,019,24.1,3179
05,075,23.1,2593
05,095,20.3,1019
05,029,19.4,2810
05,101,24.3,1391
05,001,20.4,2536
05,085,22.3,10781
05,015,23.8,4724
05,123,25.7,4599
05,119,22.9,61112
06,047,22.8,36611
06,043,31.1,4246
06,049,26.2,1764
06,013,21.4,168811
06,027,24.8,3278
06,099,24.9,85694
06,083,21.2,58185
06,103,30.5,13361
06,051,28.0,2784
06,069,25.9,10084
13,079,26.0,2264
13,029,23.6,5504
13,035,17.3,2941
13,039,26.7,8989
13,099,20.0,1362
13,069,17.9,5041
13,077,22.7,21706
13,123,18.2,4048
13,297,21.1,12877
13,317,18.6,1288
13,091,19.1,2834
13,129,21.7,8268
13,057,23.3,38697
13,113,19.4,14808
13,177,23.9,4628
13,227,22.2,5078
13,133,18.7,2407
13,075,19.9,2246
13,085,21.3,3727
13,121,16.0,111827
15,001,22.4,31769
15,003,20.3,138230
15,007,19.7,10064
15,005,22.6,14
16,031,26.2,3670
16,063,24.2,813
16,085,30.3,2583
16,041,26.9,2139
16,069,27.3,7645
16,055,29.7,32365
16,067,24.6,3187
16,083,26.8,14466
16,013,20.1,3189
16,015,23.7,1361
16,023,31.0,592
16,047,19.8,1929
16,001,24.3,74881
16,007,26.1,1036
16,011,26.2,7226
16,025,26.8,196
16,035,29.5,1999
16,051,23.6,3884
41,039,28.7,73456
51,181,21.9,1086
51,043,18.0,1864
51,117,21.2,4817
51,015,18.8,10376
51,075,18.6,3183
51,113,20.7,1982
51,161,19.7,13299
51,025,23.1,2842
51,131,18.0,1564
51,163,18.2,3102
51,720,26.5,727
51,570,24.4,2948
51,021,21.3,1054
51,023,20.7,5071
51,520,21.7,2628
51,830,14.4,1071
51,035,19.3,4300
06,075,13.3,92789
06,067,24.8,254816
06,017,26.7,36556
